name,init_value,decay_rate,num_particles,batch_size,num_iterations,stopped_at_iteration,kernel_length,warm_up_iterations_early_stopping,patience_early_stopping,min_delta_early_stopping,most_common_true_output,most_common_prediction,number_of_different_classified_by_particles,accuracy
MNIST,0.5,0.7,30,300,100,100,0.005,10,15,0.0025,1,1.0,298.9759,0.9755
MNIST,0.5,0.8,30,300,100,100,0.005,10,15,0.0025,1,1.0,298.9759,0.9755
MNIST,0.5,0.9,30,300,100,100,0.005,10,15,0.0025,1,1.0,298.9759,0.9755
MNIST,0.5,0.95,30,300,100,100,0.005,10,15,0.0025,1,1.0,298.9759,0.9755
MNIST,0.5,0.99,30,300,100,100,0.005,10,15,0.0025,1,1.0,298.9759,0.9755
MNIST,0.5,0.999,30,300,100,100,0.005,10,15,0.0025,1,1.0,298.9759,0.9755
MNIST,0.5,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.026567858,298.9987,0.1135
MNIST,0.25,0.95,30,300,100,100,0.005,10,15,0.0025,1,5.995589e-16,298.99988,0.90639997
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.9999974,298.9916,0.95339996
MNIST,0.05,0.95,30,300,100,100,0.005,10,15,0.0025,1,1.1084314e-15,298.9891,0.96239996
MNIST,0.025,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.9998969,298.9819,0.97059995
MNIST,0.01,0.95,30,300,100,100,0.005,10,15,0.0025,1,1.0,298.9759,0.9755
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,4.4382407e-08,298.9874,0.9481
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.9999974,298.9916,0.95339996
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.99992406,298.9877,0.9518
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.9999974,298.9916,0.95339996
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.9999974,298.9916,0.95339996
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,1.6378814999999999e-25,298.9933,0.95299995
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.0,292.92328,0.7492
MNIST,0.1,0.95,30,10000,100,100,0.005,10,15,0.0025,1,0.0,292.72958,0.56229997
MNIST,0.1,0.95,30,1000,100,100,0.005,10,15,0.0025,1,0.09022518,292.0124,0.6258
MNIST,0.1,0.95,30,300,100,100,0.005,10,15,0.0025,1,0.0,292.92328,0.7492
MNIST,0.1,0.95,30,50,100,100,0.005,10,15,0.0025,1,0.10221185,298.2933,0.57519996
MNIST,0.1,0.95,30,0,100,100,0.005,10,15,0.0025,1,0.0,290.7964,0.54719996
MNIST,0.1,0.95,100,0,100,100,0.005,10,15,0.0025,1,0.0,978.29016,0.48959997
MNIST,0.1,0.95,80,0,100,100,0.005,10,15,0.0025,1,0.0,786.5442,0.4676
MNIST,0.1,0.95,50,0,100,100,0.005,10,15,0.0025,1,0.007760766,493.7786,0.2705
MNIST,0.1,0.95,40,0,100,100,0.005,10,15,0.0025,1,0.0,379.4928,0.5115
MNIST,0.1,0.95,30,0,100,100,0.005,10,15,0.0025,1,0.0,290.7964,0.54719996
MNIST,0.1,0.95,20,0,100,100,0.005,10,15,0.0025,1,0.0012600742,196.9771,0.30789998
MNIST,0.1,0.95,10,0,100,100,0.005,10,15,0.0025,1,2.346027e-05,97.1651,0.2341
MNIST,0.1,0.95,5,0,100,100,0.005,10,15,0.0025,1,0.017932057,48.923298,0.1171